edge_id,source_node,target_node,relationship_type,evidence_strength_score,confidence_prior,source_ids,domain,methodology_basis,main_finding_summary,limitations,context_requirements,forbidden_direct_inference,risk_of_overinterpretation
hrv_reduced_to_autonomic_regulation_shift,reduced_hrv_relative_to_baseline,autonomic_regulation_shift,SUPPORTS,4,0.78,shaffer_ginsberg_2017_hrv_metrics_norms,HRV_autonomic_regulation,"Methodological review of HRV metrics, recording durations, physiological interpretation, and norms.","HRV is a useful non-invasive marker of autonomic regulation when interpreted relative to protocol, context, and personal baseline.","Not emotion-specific ; Affected by respiration, age, fitness, illness, medication, and device quality ; Requires baseline-sensitive interpretation",Personal baseline ; Recording duration ; Respiration/activity context ; Medication/illness screening,reduced_hrv_relative_to_baseline_to_anxiety_diagnosis ; reduced_hrv_relative_to_baseline_to_depression_diagnosis,medium
low_resting_hrv_to_mental_health_related_autonomic_dysregulation,low_resting_hrv,mental_health_related_autonomic_dysregulation,MAY_INDICATE,5,0.62,wang_2025_hrv_mental_disorders_umbrella_review,HRV_autonomic_regulation,Umbrella review of systematic reviews and pooled analyses of HRV in mental disorders.,"Lower HRV is associated with several mental-health-related conditions at group level, but the signal is non-specific and cannot identify a diagnosis.",High heterogeneity across disorders and HRV metrics ; Population-level association ; Not usable as a standalone individual diagnosis,Repeated measurements ; Functional context ; Psychological/subjective data ; Exclusion of confounders,low_resting_hrv_to_any_psychiatric_diagnosis,high
persistent_low_hrv_to_depressive_like_pattern_contextual,persistent_low_hrv,depressive_like_pattern_contextual,WEAKLY_SUPPORTS,5,0.46,wu_2023_hrv_rest_depression_meta_analysis ; wang_2025_hrv_mental_disorders_umbrella_review,HRV_autonomic_regulation,Meta-analysis and umbrella-review evidence on resting HRV differences in depressed populations.,"Persistent low HRV may support a depression-like physiological pattern only when combined with mood, energy, sleep, activity, and longitudinal context.","Not diagnostic ; Can reflect many physiological states ; Confounded by sleep, medication, cardiovascular status, and fitness",Low mood report ; Reduced activity ; Sleep disruption ; Longitudinal persistence ; Clinical screening if used in care context,persistent_low_hrv_to_major_depressive_disorder,high
increased_eda_to_sympathetic_arousal,increased_eda,sympathetic_arousal,SUPPORTS,4,0.74,sosa_2026_beyond_eda_multimodal_sns_arousal,EDA_sympathetic_arousal,Systematic review of multimodal sympathetic nervous system arousal classification and stress detection.,"EDA is a useful anchor signal for sympathetic arousal, but its interpretation improves when combined with other physiological and contextual signals.","EDA is not emotion-specific ; Sensitive to temperature, movement, skin contact, sweat gland physiology, and cognitive load",Motion/contact quality ; Temperature context ; Activity context ; Co-markers such as HRV/PPG/skin temperature,increased_eda_to_anxiety_diagnosis ; increased_eda_to_stress_diagnosis,high
wearable_multimodal_features_to_stress_state_prediction,wearable_multimodal_features,stress_state_prediction,MAY_INDICATE,4,0.52,vos_2023_wearable_stress_monitoring_systematic_review ; sosa_2026_beyond_eda_multimodal_sns_arousal,wearable_stress_detection,Systematic reviews of wearable stress monitoring and multimodal sympathetic arousal classification.,"Multimodal wearable features can support stress-state prediction, but generalization across people, protocols, and contexts remains a major limitation.",Generalization problem ; Small/heterogeneous datasets ; Label noise ; Context dependence ; Risk of overfitting to protocol-specific stressors,Personal baseline ; Clear label definition ; Activity and environmental context ; Model uncertainty reporting,wearable_multimodal_features_to_clinical_stress_diagnosis,high
sleep_loss_to_emotion_regulation_impairment,sleep_loss,emotion_regulation_impairment,INCREASES_PROBABILITY_OF,5,0.82,palmer_2024_sleep_loss_emotion_meta_analysis ; tomaso_2021_sleep_deprivation_restriction_mood_meta_analyses ; vandekerckhove_wang_2017_emotion_regulation_sleep,sleep_emotion_regulation,"Systematic review/meta-analysis plus review evidence on sleep loss, emotion, and emotion regulation.",Sleep loss reliably worsens emotional functioning and should be modeled as a major upstream modulator of emotional regulation capacity.,Does not identify a specific emotion or diagnosis ; Effects vary by sleep-loss type and individual vulnerability ; Bidirectional sleep-emotion effects are possible,Sleep duration/quality metrics ; Previous-night and multi-night context ; Subjective energy/mood ; Illness/pain/medication screening,sleep_loss_to_depression_diagnosis ; sleep_loss_to_anxiety_diagnosis,medium
sleep_restriction_to_negative_mood_increase,sleep_restriction,negative_mood_increase,INCREASES_PROBABILITY_OF,5,0.76,tomaso_2021_sleep_deprivation_restriction_mood_meta_analyses ; palmer_2024_sleep_loss_emotion_meta_analysis,sleep_mood,"Meta-analytic evidence on sleep deprivation/restriction effects on mood, emotion, and emotion regulation.",Sleep restriction/deprivation increases vulnerability to negative mood states and reduces positive mood.,Mood effects are not diagnosis-specific ; Acute and chronic sleep restriction may differ ; Population and experimental setting matter,Sleep history ; Baseline mood ; Timing of measurement ; Stress/activity context,sleep_restriction_to_mood_disorder,medium
sleep_loss_to_reduced_positive_affect,sleep_loss,reduced_positive_affect,INCREASES_PROBABILITY_OF,5,0.78,tomaso_2021_sleep_deprivation_restriction_mood_meta_analyses ; palmer_2024_sleep_loss_emotion_meta_analysis,sleep_mood,Meta-analytic evidence on sleep loss and affective outcomes.,"Sleep loss is linked to lower positive affect, making low-energy or low-positive-affect hypotheses more plausible when context agrees.","Not specific to depression ; Can be mediated by fatigue, illness, pain, or medication ; Requires within-person comparison",Subjective energy ; Sleep duration and fragmentation ; Recent illness/pain ; Baseline affect,sleep_loss_to_depression_diagnosis,medium
sleep_disturbance_to_increased_emotional_reactivity,sleep_disturbance,increased_emotional_reactivity,SUPPORTS,3,0.64,vandekerckhove_wang_2017_emotion_regulation_sleep ; palmer_2024_sleep_loss_emotion_meta_analysis,sleep_emotion_regulation,Narrative review and meta-analysis evidence on sleep-emotion interaction.,"Sleep disturbance can increase emotional reactivity and weaken regulation, but causality may be bidirectional.",Narrative mechanism source ; Bidirectional stress-sleep effects ; Needs temporal sequencing,Temporal order ; Stress context ; Baseline sleep quality ; Subjective report,sleep_disturbance_to_any_psychiatric_diagnosis,medium
acute_sleep_deprivation_to_cortisol_elevation_contextual,acute_sleep_deprivation,cortisol_elevation,MAY_INDICATE,5,0.38,chen_2024_acute_sleep_deprivation_cortisol_meta_analysis,sleep_cortisol,Systematic review and meta-analysis of acute sleep deprivation and cortisol level.,The relationship between acute sleep deprivation and cortisol is mixed/contextual; this edge should remain weak and explicitly uncertain.,Total cortisol effects may be non-significant ; Sampling medium and timing matter ; Acute deprivation differs from chronic sleep disruption,Sampling medium ; Time of day ; Baseline cortisol ; Sleep deprivation protocol,acute_sleep_deprivation_to_chronic_stress,high
salivary_cortisol_increase_to_hpa_axis_activation,salivary_cortisol_increase,hpa_axis_activation,SUPPORTS,5,0.81,gu_2022_tsst_salivary_cortisol_meta_analysis,HPA_axis_cortisol,Meta-analysis of salivary cortisol responses to the Trier Social Stress Test.,"Salivary cortisol increases support HPA-axis activation, especially in structured acute psychosocial stress paradigms.","Time of day, sex, sample timing, and protocol features influence response ; Cortisol is not a direct psychological-state marker",Sampling timing ; Baseline sample ; Time of day ; Sex/hormonal context ; Acute stressor context,salivary_cortisol_increase_to_anxiety_diagnosis ; salivary_cortisol_increase_to_chronic_stress_diagnosis,medium
social_evaluative_threat_to_acute_psychosocial_stress_response,social_evaluative_threat_context,acute_psychosocial_stress_response,SUPPORTS,4,0.78,allen_2017_tsst_principles_practice ; frisch_2015_tsst_social_threat_paradigm,acute_psychosocial_stress,TSST methodological and paradigm-focused reviews.,Social-evaluative threat and uncontrollability are central contextual features that support acute psychosocial stress-response inference.,"Laboratory paradigm may not map directly to everyday contexts ; Requires context evidence, not physiology alone",Evaluation threat ; Task demand ; Uncontrollability/novelty ; Temporal proximity,social_evaluative_threat_context_to_anxiety_disorder,medium
acute_psychosocial_stress_response_to_hpa_axis_activation,acute_psychosocial_stress_response,hpa_axis_activation,INCREASES_PROBABILITY_OF,5,0.73,gu_2022_tsst_salivary_cortisol_meta_analysis ; allen_2017_tsst_principles_practice,HPA_axis_cortisol,Meta-analysis of cortisol responses in TSST and methodological review of TSST.,"Acute psychosocial stress responses can involve HPA-axis activation, measurable through salivary cortisol under appropriate sampling conditions.",Not all stressors produce the same cortisol response ; Habituation and individual differences matter,Stressor type ; Sampling schedule ; Baseline comparison ; Repeated exposure/habituation,hpa_axis_activation_to_psychiatric_diagnosis,medium
repeated_stress_responses_to_stress_adaptation_response,repeated_stress_responses,stress_adaptation_response,SUPPORTS,3,0.7,mcewen_2007_stress_adaptation_brain ; mcewen_2000_allostasis_allostatic_load_neuropsychopharmacology,allostasis,"Theoretical reviews by McEwen on stress adaptation, brain-body regulation, allostasis, and allostatic load.","Stress responses are adaptive regulatory processes involving brain, autonomic, neuroendocrine, immune, cardiovascular, and metabolic systems.",Theoretical framework ; Requires operational biomarkers for individual measurement,Repeated or prolonged exposure ; Multi-system markers ; Time course,repeated_stress_responses_to_disease_diagnosis,medium
multi_system_dysregulation_to_allostatic_load,multi_system_dysregulation,allostatic_load,SUPPORTS,5,0.76,beese_2022_allostatic_load_measurement_review_of_reviews ; mcewen_2000_allostasis_allostatic_load_neuropsychopharmacology ; mcewen_2007_stress_adaptation_brain,allostatic_load_measurement,Systematic review of reviews on allostatic load measurement plus foundational allostasis theory.,"Allostatic load is best represented as multi-system dysregulation, operationalized through composite biomarkers rather than one signal.",No single universal allostatic load formula ; Biomarker panels vary ; Cross-sectional scores may miss temporal dynamics,Multi-system biomarker panel ; Personal or population reference ranges ; Longitudinal trend if available,single_biomarker_to_allostatic_load,medium
